symbol,date,open,high,low,close,volume,sources
BTC,2025-08-25,113471.7823401624,113648.57,109292.22,110137.250463757,44707929468.515,2
BTC,2025-08-26,110137.1277141683,112407.53,108701.29,111804.2927851725,36197736271.12,2
BTC,2025-08-27,111800.8191337432,112669.11,110381.63,111249.5203585476,32288881696.085,2
BTC,2025-08-28,111276.98,115549.0,109214.0,112544.8019855007,36957904262.995804,3
BTC,2025-08-29,112566.36503904441,112646.73,107512.41,108401.9940711203,40514603649.11,2
BTC,2025-08-30,108401.27747841965,108937.23,107381.29,108820.80085644785,26268085227.93,2
BTC,2025-08-31,108825.9955420691,109510.25,108095.95,108255.21494799966,24488174797.329998,2
BTC,2025-09-01,108273.72,113329.0,107271.183408171,109250.5947969764,26140904019.246822,3
BTC,2025-09-02,109249.6736637296,111796.23,108420.77,111223.26360610795,38885484333.375,2
BTC,2025-09-03,111218.31934416934,112601.73,110556.54,111737.36166266474,31625941302.105,2
BTC,2025-09-04,111734.82956772605,112225.93,109345.22,110727.96504025765,31146985654.365,2
BTC,2025-09-05,110723.0145434385,113400.39,107295.0,110676.99,38708366685.43147,3
BTC,2025-09-06,110663.7808611219,111320.3,110019.89,110227.4288682047,11117431237.435001,2
BTC,2025-09-07,110225.7429394925,111607.85,110211.6215475936,111155.4297591516,12669480951.045,2
BTC,2025-09-08,111153.12889875175,112937.76,110628.16,112080.24554426924,21021301151.635,2
BTC,2025-09-09,112077.5772737136,113293.12,110032.0,111549.14,37159847899.8603,3
BTC,2025-09-10,111540.1939402313,114341.92,110940.076862647,113971.77947730235,29519712973.005,2
BTC,2025-09-11,113974.81404691875,115543.74,113453.8393085089,115522.68876342705,23890820432.555,2
BTC,2025-09-12,115522.8164780712,116816.49,114785.3,116108.9204482378,28598907935.359997,2
BTC,2025-09-13,116093.5595234273,116705.0,110822.0,115971.92,34549454946.66,3
BTC,2025-09-14,115961.106159556,116227.37,115203.8,115379.76222371444,16820814807.635,2
BTC,2025-09-15,115375.7505719054,116808.07,114427.7,115422.96635416869,27537799045.09,2
BTC,2025-09-16,115412.40732082965,117006.56,114765.74,116840.74712534455,23836033830.420002,2
BTC,2025-09-17,116838.31,117331.11,114509.0,116488.17,39964451595.099724,3
BTC,2025-09-18,116474.7163530461,117981.11,116134.78,117131.8312300419,25855317061.41,2
BTC,2025-09-19,117132.06667344455,117510.96,115141.8172917535,115695.4164090056,20387999227.795002,2
BTC,2025-09-20,115696.5492406452,116202.27,115473.5242788556,115739.01410379035,11779573627.28,2
BTC,2025-09-21,115756.07,117888.0,114940.0,115306.097161289,18774953731.290394,3
BTC,2025-09-22,115304.52606112251,115439.04,112027.44,112748.1778116228,36940972360.524994,2
BTC,2025-09-23,112752.66277732121,113372.59,111518.32,112029.0798382582,24645961171.309998,2
BTC,2025-09-24,112025.6632579519,114013.4,111118.7,113344.6602044283,25016468718.3,2
BTC,2025-09-25,113360.69,115858.0,108664.26,109061.11,46677543220.334526,3
BTC,2025-09-26,109051.20225053915,110387.27,108695.14,109718.385759137,30397999159.535,2
BTC,2025-09-27,109715.5405091554,109822.37,109144.293006297,109704.6812415997,13543164794.64,2
BTC,2025-09-28,109704.68364976204,112406.99,109236.9477444889,112174.64457530741,17343974214.87,2
BTC,2025-09-29,112226.65,114496.59,108776.0,114400.3864282159,31274654338.51212,3
BTC,2025-09-30,114401.8001202996,114866.53,112727.79,114067.13182374965,30799486432.405,2
BTC,2025-10-01,114067.8860916521,118722.74,113981.3959687741,118657.82929393575,37308704868.25,2
BTC,2025-10-02,118659.5579478032,121107.24,118356.65,120655.98486167105,37381885547.27,2
BTC,2025-10-03,120630.71,123996.37,111599.0,122266.5327281923,71252850672.75252,3
BTC,2025-10-04,122293.16488554695,122898.15,121577.5714027949,122440.40936477124,18994067287.31,2
BTC,2025-10-05,122437.53034409191,125748.81,122191.9581408905,123524.34185698355,38196497662.145004,2
BTC,2025-10-06,123522.8299841939,126287.29,123143.47,124737.7641760487,38023716493.435,2
BTC,2025-10-07,122619.0,126080.0,119514.0,122988.055,39213697475.11077,2
ETH,2025-07-08,2542.9727446559,2626.6644537649,2525.4377884757,2615.5057588635,17537487205.94,1
ETH,2025-07-09,2615.89787943175,2796.41,2590.85,2770.38381716225,14315296132.230001,2
ETH,2025-07-10,2770.36365067815,3000.74,2756.79,2953.0776089561,17836797222.3,2
ETH,2025-07-11,2951.31,3039.9,2592.94,2957.8861984773,36226558862.52,3
ETH,2025-07-12,2958.6818869051503,2980.71,2905.43,2943.5908314644503,8503517424.530001,2
ETH,2025-07-13,2943.5617896187,3021.17,2937.49,2973.18449431075,9065122301.67,2
ETH,2025-07-14,2973.1175740668004,3083.04,2964.19,3014.00542962565,19041472614.21,2
ETH,2025-07-15,3013.2935772868,3144.48,2908.75,3139.33,39013656111.94,3
ETH,2025-07-16,3139.60985890185,3425.33,3101.74,3372.3033614226997,24634855788.79,2
